,tp
0,-0.1
1,-0.099
2,-0.098
3,-0.097
4,-0.096
5,-0.095
6,-0.094
7,-0.093
8,-0.092
9,-0.091
10,-0.09
11,-0.089
12,-0.088
13,-0.087
14,-0.086
15,-0.085
16,-0.084
17,-0.083
18,-0.082
19,-0.081
20,-0.08
21,-0.079
22,-0.078
23,-0.077
24,-0.076
25,-0.075
26,-0.074
27,-0.073
28,-0.072
29,-0.071
30,-0.07
31,-0.069
32,-0.068
33,-0.067
34,-0.066
35,-0.065
36,-0.064
37,-0.063
38,-0.062
39,-0.061
40,-0.06
41,-0.059
42,-0.058
43,-0.057
44,-0.056
45,-0.055
46,-0.054
47,-0.053
48,-0.052
49,-0.051
50,-0.05
51,-0.049
52,-0.048
53,-0.047
54,-0.046
55,-0.045
56,-0.044
57,-0.043
58,-0.042
59,-0.041
60,-0.04
61,-0.039
62,-0.038
63,-0.037
64,-0.036
65,-0.035
66,-0.034
67,-0.033
68,-0.032
69,-0.031
70,-0.03
71,-0.029
72,-0.028
73,-0.027
74,-0.026
75,-0.025
76,-0.024
77,-0.023
78,-0.022
79,-0.021
80,-0.02
81,-0.019
82,-0.018
83,-0.017
84,-0.016
85,-0.015
86,-0.014
87,-0.013
88,-0.012
89,-0.011
90,-0.01
91,-0.009
92,-0.008
93,-0.007
94,-0.006
95,-0.005
96,-0.004
97,-0.003
98,-0.002
99,-0.001
100,0.0
101,0.001
102,0.002
103,0.003
104,0.004
105,0.005
106,0.006
107,0.007
108,0.008
109,0.009
110,0.01
111,0.011
112,0.012
113,0.013
114,0.014
115,0.015
116,0.016
117,0.017
118,0.018
119,0.019
120,0.02
121,0.021
122,0.022
123,0.023
124,0.024
125,0.025
126,0.026
127,0.027
128,0.028
129,0.029
130,0.03
131,0.031
132,0.032
133,0.033
134,0.034
135,0.035
136,0.036
137,0.037
138,0.038
139,0.039
140,0.04
141,0.041
142,0.042
143,0.043
144,0.044
145,0.045
146,0.046
147,0.047
148,0.048
149,0.049
150,0.05
151,0.051
152,0.052
153,0.053
154,0.054
155,0.055
156,0.056
157,0.057
158,0.058
159,0.059
160,0.06
161,0.061
162,0.062
163,0.063
164,0.064
165,0.065
166,0.066
167,0.067
168,0.068
169,0.069
170,0.07
171,0.071
172,0.072
173,0.073
174,0.074
175,0.075
176,0.076
177,0.077
178,0.078
179,0.079
180,0.08
181,0.081
182,0.082
183,0.083
184,0.084
185,0.085
186,0.086
187,0.087
188,0.088
189,0.089
190,0.09
191,0.091
192,0.092
193,0.093
194,0.094
195,0.095
196,0.096
197,0.097
198,0.098
199,0.099
200,0.1
201,0.101
202,0.102
203,0.103
204,0.104
205,0.105
206,0.106
207,0.107
208,0.108
209,0.109
210,0.11
211,0.111
212,0.112
213,0.113
214,0.114
215,0.115
216,0.116
217,0.117
218,0.118
219,0.119
220,0.12
221,0.121
222,0.122
223,0.123
224,0.124
225,0.125
226,0.126
227,0.127
228,0.128
229,0.129
230,0.13
231,0.131
232,0.132
233,0.133
234,0.134
235,0.135
236,0.136
237,0.137
238,0.138
239,0.139
240,0.14
241,0.141
242,0.142
243,0.143
244,0.144
245,0.145
246,0.146
247,0.147
248,0.148
249,0.149
250,0.15
251,0.151
252,0.152
253,0.153
254,0.154
255,0.155
256,0.156
257,0.157
258,0.158
259,0.159
260,0.16
261,0.161
262,0.162
263,0.163
264,0.164
265,0.165
266,0.166
267,0.167
268,0.168
269,0.169
270,0.17
271,0.171
272,0.172
273,0.173
274,0.174
275,0.175
276,0.176
277,0.177
278,0.178
279,0.179
280,0.18
281,0.181
282,0.182
283,0.183
284,0.184
285,0.185
286,0.186
287,0.187
288,0.188
289,0.189
290,0.19
291,0.191
292,0.192
293,0.193
294,0.194
295,0.195
296,0.196
297,0.197
298,0.198
299,0.199
300,0.2
301,0.201
302,0.202
303,0.203
304,0.204
305,0.205
306,0.206
307,0.207
308,0.208
309,0.209
310,0.21
311,0.211
312,0.212
313,0.213
314,0.214
315,0.215
316,0.216
317,0.217
318,0.218
319,0.219
320,0.22
321,0.221
322,0.222
323,0.223
324,0.224
325,0.225
326,0.226
327,0.227
328,0.228
329,0.229
330,0.23
331,0.231
332,0.232
333,0.233
334,0.234
335,0.235
336,0.236
337,0.237
338,0.238
339,0.239
340,0.24
341,0.241
342,0.242
343,0.243
344,0.244
345,0.245
346,0.246
347,0.247
348,0.248
349,0.249
350,0.25
351,0.251
352,0.252
353,0.253
354,0.254
355,0.255
356,0.256
357,0.257
358,0.258
359,0.259
360,0.26
361,0.261
362,0.262
363,0.263
364,0.264
365,0.265
366,0.266
367,0.267
368,0.268
369,0.269
370,0.27
371,0.271
372,0.272
373,0.273
374,0.274
375,0.275
376,0.276
377,0.277
378,0.278
379,0.279
380,0.28
381,0.281
382,0.282
